,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
118,US1INLK0089,"HAMMOND 0.6 SSW, IN US",41.6121,-87.4941,180.1
119,US1ILDP0049,"NAPERVILLE 2.5 ESE, IL US",41.74607,-88.11143,223.1
120,US1ILCK0063,"ELK GROVE VILLAGE 0.6 ESE, IL US",42.003899,-87.981309,213.1
121,US1ILCK0061,"OAK PARK 1.0 SW, IL US",41.87558,-87.80111,192.9
122,US1ILDP0164,"WEST CHICAGO 3.5 SE, IL US",41.850232,-88.179728,227.7
123,US1ILDP0042,"CAROL STREAM 0.3 SSE, IL US",41.91301,-88.129388,231.0
124,US1ILDP0163,"LOMBARD 1.2 E, IL US",41.872971,-87.99117,220.4
125,US1ILCK0064,"HOMEWOOD 0.1 ESE, IL US",41.557694,-87.659444,196.0
126,US1ILDP0173,"LOMBARD 1.2 N, IL US",41.89235,-88.01232,200.3
127,US1ILCK0214,"ROGERS PARK 1.5 SW, IL US",41.995667,-87.691833,181.4
128,USC00117457,"ROMEOVILLE WEATHER FORECAST OFFICE, IL US",41.60413,-88.08497,201.2
129,USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",41.78412,-87.75514,185.8
130,USC00115314,"MANHATTAN 5 ENE, IL US",41.45886,-87.91044,228.0
131,US1ILCK0211,"OAK LAWN 1.6 WNW, IL US",41.72686005,-87.77773285,188.1
132,US1ILLK0103,"BUFFALO GROVE 1.3 ESE, IL US",42.161133,-87.939419,201.5
133,US1ILLK0069,"HIGHWOOD 0.9 S, IL US",42.1984100341797,-87.8139877319336,210.0
134,US1ILCK0336,"EVANSTON 0.8 ESE, IL US",42.04309,-87.6792,185.3
135,US1INLK0119,"HOBART 2.4 SE, IN US",41.5117635,-87.230223,192.3
136,US1INLK0015,"DYER 1.0 WNW, IN US",41.506694,-87.524821,192.0
137,US1ILCK0173,"PALOS PARK 3.6 WNW, IL US",41.67684,-87.911415,217.6
138,US1ILCK0294,"PALATINE 1.4 NNE, IL US",42.129876,-88.028033,231.6
139,US1ILDP0038,"ELMHURST 0.4 SW, IL US",41.893458,-87.948464,216.1
