"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-25",,"87","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-26",,"85","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-27",,"84","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-28",,"72","46"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-29",,"70","46"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-04-30",,"63","45"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-01",,"60","41"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-02",,"68","38"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-03",,"58","46"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-04",,"49","43"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-05",,"63","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-06",,"67","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-07",,"75","50"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-08",,"81","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-09",,"71","50"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-10",,"50","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-11",,"62","37"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-12",,"55","47"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-13",,"63","46"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-14",,"66","47"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-15",,"65","49"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-16",,"73","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-17",,"61","51"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-18",,"73","49"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-19",,"70","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-20",,"62","45"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-21",,"58","47"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-22",,"64","42"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-23",,"71","44"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-24",,"73","52"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-25",,"60","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-26",,"64","55"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-27",,"72","52"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-28",,"73","52"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-29",,"63","47"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-30",,"65","42"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-05-31",,"76","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-01",,"85","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-02",,"85","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-03",,"71","50"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-04",,"61","44"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-05",,"63","42"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-06",,"80","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-07",,"76","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-08",,"81","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-09",,"81","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-10",,"73","55"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-11",,"80","50"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-12",,"88","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-13",,"92","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-14",,"83","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-15",,"85","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-16",,"86","61"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-17",,"89","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-18",,"83","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-19",,"74","52"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-20",,"79","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-21",,"83","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-22",,"73","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-23",,"73","55"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-24",,"78","49"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-25",,"83","55"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-26",,"84","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-27",,"88","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-28",,"87","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-29",,"82","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-06-30",,"91","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-01",,"75","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-02",,"83","56"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-03",,"89","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-04",,"96","77"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-05",,"88","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-06",,"69","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-07-07",,"82","53"
