"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-29",,"88","73"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-30",,"90","76"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-08-31",,"92","78"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-01",,"90","78"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-02",,"91","72"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-03",,"89","71"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-04",,"89","73"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-05",,"86","73"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-06",,"88","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-07",,"85","72"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-08",,"81","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-09",,"85","73"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-10",,"88","73"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-11",,"80","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-12",,"88","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-13",,"87","70"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-14",,"88","72"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-15",,"89","70"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-16",,"87","68"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-17",,"90","70"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-18",,"87","73"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-19",,"82","73"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-20",,"87","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-21",,"86","74"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-22",,"90","70"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-23",,"89","69"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-24",,"88","73"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-25",,"86","75"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-26",,"87","70"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-27",,"81","66"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-28",,"81","70"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-29",,"84","67"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-09-30",,"83","64"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-01",,"84","62"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-02",,"83","65"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-03",,"84","61"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-04",,"84","61"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-05",,"85","64"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-06",,"84","64"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-07",,"84","63"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-08",,"80","66"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-09",,"81","62"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-10",,"83","60"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-11",,"82","59"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-12",,"83","61"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-13",,"82","60"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-14",,"84","60"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-15",,"85","62"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-16",,"83","67"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-17",,"79","57"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-18",,"78","56"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-19",,"82","54"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-20",,"81","62"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-21",,"82","64"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-22",,"85","65"
"USW00012842","TAMPA INTERNATIONAL AIRPORT, FL US","1940-10-23",,"85","64"
